BouncedAt,UserName,CityName,TimeStamp,DeviceID,Flavor,CheckIn,NumOfPeople,NumofRooms,CheckOut
0,michelelang@yahoo.com,Raritan,2021-01-18 07:17:03,9588900,Android,2021-07-05,7,4,2021-07-11
1,nathan71@walls-shaffer.com,Puckett,2020-09-10 01:50:58,5619518,IOS,2021-07-28,9,9,2021-08-22
1,joshuacastillo@gmail.com,Cougar,2020-09-13 08:59:51,6453083,Android,2021-08-23,2,1,2021-08-26
1,tracy87@gmail.com,Marlow Heights,2021-04-05 02:44:04,7713155,Android,2021-06-04,4,2,2021-06-05
0,loganmatthew@rowe.net,Campus,2021-02-20 19:39:07,1138012,Android,2021-05-11,6,4,2021-05-23
0,ocross@yahoo.com,Glenview,2020-06-12 08:54:07,1098185,Android,2021-06-01,1,1,2021-06-22
1,mccoywendy@gmail.com,McDonald,2021-04-19 18:43:16,8660454,IOS,2021-05-14,6,3,2021-05-29
1,jonathanhogan@vincent-coleman.com,East McKeesport,2021-02-18 04:58:52,1304957,IOS,2021-06-02,1,1,2021-06-28
0,nixonjoseph@yahoo.com,East Smithfield,2020-08-17 17:55:01,4987534,Android,2021-05-28,2,1,2021-06-20
1,youngkyle@gmail.com,Fort Salonga,2021-04-24 14:22:04,7112616,IOS,2021-05-12,4,2,2021-05-15
1,rbutler@martin.com,Kingman,2020-07-06 07:40:08,9557394,Android,2021-07-01,7,4,2021-07-26
0,wpayne@knapp-lowery.info,Cornville,2020-12-21 07:07:04,9556143,Android,2021-05-31,9,6,2021-06-05
1,thomas49@gmail.com,Carrizozo,2021-03-14 13:18:31,6721968,Android,2021-07-20,6,4,2021-07-26
0,curryrebecca@boyd.com,Strong City,2021-04-12 02:37:12,5771205,Android,2021-08-21,4,3,2021-08-24
1,kennedytimothy@yahoo.com,Cohagen,2020-09-20 14:13:05,6284702,Android,2021-07-03,5,5,2021-07-04
0,william28@hotmail.com,San Pablo,2020-11-01 14:57:20,1056836,IOS,2021-06-04,5,5,2021-07-02
1,ebeck@yahoo.com,Elliott,2021-02-13 21:15:19,5107323,Android,2021-07-23,1,1,2021-07-31
0,davidsoncrystal@hotmail.com,Natalia,2020-06-19 02:46:44,1532336,Android,2021-06-06,1,1,2021-06-25
1,maldonadonicholas@gmail.com,London,2020-12-12 15:27:19,6681383,IOS,2021-05-14,5,3,2021-05-26
1,dennisbradley@green.org,Little Marais,2021-03-02 20:38:50,9312087,IOS,2021-05-08,5,5,2021-05-26
1,grobinson@gmail.com,Wayzata,2020-08-11 17:41:39,4500303,Android,2021-07-22,1,1,2021-08-03
