BouncedAt,UserName,TimeStamp,DeviceID,Flavor,CheckIn,NumOfPeople,CityName,CityId,NumofRooms,CheckOut
1,meganjimenez@yahoo.com,2020-12-25 05:10:17,2912273,Android,2021-05-05,1,West Pasco,915a9478-e01c-44f3-805e-81f6951522c3,1,2021-05-26
0,manninglucas@rodriguez.com,2020-12-15 14:35:41,8552035,IOS,2021-07-03,6,Mesa Grande,7861a858-d23d-4052-bae6-cc56158923f9,4,2021-07-28
1,kennethalvarez@kim.com,2020-06-02 01:59:36,6431899,Android,2021-07-26,7,Switz City,60548806-679e-48c6-84b1-6612680d6379,5,2021-08-19
1,carolharris@clark-hobbs.org,2020-08-28 02:19:53,3569427,Android,2021-08-30,2,Franklinville,cb48a460-a396-468b-b06d-8288d7506dcd,1,2021-09-14
0,jamesmelton@cameron.biz,2021-02-07 09:33:48,3730513,Android,2021-08-25,5,Wasilla,932dcf74-2741-450c-9dcf-aed9d8a89190,3,2021-09-10
1,stephanieelliott@yahoo.com,2020-05-07 02:56:47,8585231,Android,2021-08-02,6,Wylandville,477429fd-d4c7-4587-b355-b1147b547615,4,2021-08-11
0,jasonnovak@wheeler.com,2021-04-07 11:17:20,7136360,Android,2021-05-12,5,Grayslake,e93a072f-b98c-4907-be76-0cd1e7091d2c,4,2021-06-05
1,ybell@kane-davis.com,2021-04-19 07:40:34,6982495,Android,2021-06-03,8,Gassoway,e6fd2c39-504a-4a3e-b1ad-2f0c247e375e,5,2021-06-07
0,abigailpatrick@hotmail.com,2021-04-27 12:31:57,3658999,IOS,2021-08-18,4,Raiford,d691c6e4-f301-46f0-afd7-c2fde077f412,3,2021-09-06
1,wheelerbrian@yahoo.com,2021-01-01 06:04:51,4308260,IOS,2021-06-20,8,Rice Lake,7dec949c-1760-49d9-9bab-de5b3990a4d8,7,2021-06-24
0,aperry@gmail.com,2021-02-14 14:16:25,7035969,Android,2021-06-15,3,Miami Springs,03e8119e-82eb-4c08-a7bb-274ceaa31830,3,2021-06-18
0,james11@hotmail.com,2020-09-19 18:50:27,5539167,IOS,2021-07-12,9,Ector,3403b50f-d5a5-459e-9f2b-60ce7f530799,6,2021-07-25
1,thomasray@cook-castillo.biz,2020-07-25 15:12:00,9198128,Android,2021-05-07,3,Noatak,8230fabd-d51d-4fc9-8d4e-cc5a754e1e7c,3,2021-05-10
0,mmoore@gmail.com,2020-09-08 07:02:28,5550744,Android,2021-06-05,1,Olney,64342020-4c96-4fcf-8a80-b265c8f9967c,1,2021-07-02
0,jessicawong@johnson.biz,2021-04-15 19:50:03,1475784,Android,2021-07-07,1,Flying Hills,5858d0d3-8b3d-4e48-a886-6d38039f6f8b,1,2021-07-20
1,jessicaperez@yahoo.com,2020-12-05 04:39:18,4703529,Android,2021-06-02,9,Wellford,764a0cae-2fcb-4453-8d00-bce79d012c95,9,2021-06-12
1,waynejacobson@estes-rios.org,2020-12-09 06:34:27,6552732,IOS,2021-06-24,5,Laymantown,32a48b73-2536-41b7-ad6e-3866b4d6f836,5,2021-07-09
