BouncedAt,UserName,CityName,TimeStamp,DeviceID,Flavor,CheckIn,NumOfPeople,NumofRooms,CheckOut
0,kevinjackson@davis.com,Flatgap,2021-01-20 13:27:09,6645248,Android,2021-07-17,6,3,2021-08-16
1,rogerskathy@gmail.com,North Hills,2020-05-16 15:32:47,1076942,Android,2021-05-03,7,7,2021-06-02
0,phillipssarah@gmail.com,Albert,2020-12-30 15:06:11,1529613,Android,2021-07-20,7,6,2021-08-19
0,chapmanbrenda@byrd.com,Watervliet,2020-08-16 21:00:07,5906684,IOS,2021-05-05,4,3,2021-06-04
1,smithglenn@hall-brooks.com,Middle Water,2020-11-08 15:05:39,4454644,IOS,2021-08-27,7,7,2021-09-26
0,scott02@nguyen-wilson.net,Mount Crawford,2020-07-17 08:52:28,2451918,Android,2021-05-07,5,3,2021-06-06
1,gutierrezgarrett@hotmail.com,Grove Center,2021-03-18 08:48:51,8462656,Android,2021-05-16,4,3,2021-06-15
0,susan63@campbell.net,Kaplan,2020-12-23 07:17:26,1481037,Android,2021-05-21,1,1,2021-06-20
1,morgan04@yahoo.com,Liddieville,2020-08-18 17:53:15,5811159,Android,2021-05-26,3,2,2021-06-25
0,rgarcia@wallace-morrow.com,Jolley,2020-05-10 19:33:44,9536209,Android,2021-08-13,3,3,2021-09-12
0,james81@baker.info,Yorkana,2020-05-11 23:28:12,2780142,Android,2021-08-25,1,1,2021-09-24
1,kyle74@jackson-obrien.info,Bellewood,2021-03-18 20:48:41,5662904,IOS,2021-05-15,3,2,2021-06-14
1,whitekatherine@yahoo.com,Massac,2020-08-18 05:51:28,8267451,Android,2021-06-17,2,2,2021-07-17
1,qbrown@jones-phillips.org,Cromwell,2020-05-15 04:31:04,2734240,IOS,2021-06-28,5,5,2021-07-28
1,matthew79@howe.biz,Pasadena,2020-07-01 20:25:47,2569967,IOS,2021-06-08,2,1,2021-07-08
1,wagnertony@blair.com,Calhoun City,2020-09-18 10:29:37,9826920,Android,2021-08-23,3,3,2021-09-22
1,raymond02@sawyer-rhodes.biz,Leonore,2020-06-22 01:26:16,5356262,Android,2021-08-08,7,5,2021-09-07
1,jquinn@gay.com,Oquawka,2021-03-17 04:56:00,8882150,Android,2021-07-15,9,5,2021-08-14
0,grivas@porter.info,Flensburg,2021-02-12 10:10:08,8363213,Android,2021-06-21,1,1,2021-07-21
0,samantha10@white.com,Watervliet,2020-11-09 01:02:44,7044359,IOS,2021-07-25,6,3,2021-08-24
1,monique72@gmail.com,McKenney,2021-03-21 17:49:55,8571996,Android,2021-05-21,7,6,2021-06-20
1,mannwilliam@gmail.com,Doctor Phillips,2020-12-04 22:23:39,7539012,Android,2021-05-31,8,7,2021-06-30
0,katelyn04@hotmail.com,Rozet,2020-12-30 08:25:31,2246890,IOS,2021-06-02,1,1,2021-07-02
0,sharon70@davis.com,Sweet Briar Station,2021-01-10 02:05:50,3000141,Android,2021-08-26,8,6,2021-09-25
0,smithstephanie@hotmail.com,Viburnum,2020-08-04 09:58:04,9288927,Android,2021-07-23,2,2,2021-08-22
1,todd08@yahoo.com,Carville,2021-02-24 06:21:56,7399526,Android,2021-06-25,8,7,2021-07-25
0,perrylisa@hotmail.com,Parkway,2020-08-06 04:54:42,4083188,Android,2021-05-28,1,1,2021-06-27
1,evanskristina@small.biz,Wabeno,2021-04-15 19:38:15,2317946,Android,2021-05-22,1,1,2021-06-21
1,dcosta@foster.com,Bewleyville,2020-07-03 13:32:17,5620946,Android,2021-07-24,7,6,2021-08-23
0,lori72@yahoo.com,Breslau,2020-06-03 21:51:08,4094794,Android,2021-05-20,6,6,2021-06-19
1,amanda26@caldwell-bryant.com,Schaffer,2020-08-13 06:13:07,7242924,Android,2021-06-19,1,1,2021-07-19
0,nmartin@gmail.com,Ridge Manor,2020-08-21 04:47:11,6293807,Android,2021-06-08,5,4,2021-07-08
1,robertjensen@yahoo.com,Brockway,2021-02-09 07:12:28,1929291,IOS,2021-06-04,7,4,2021-07-04
1,brittanyduncan@miller.com,Ella,2020-08-08 08:18:28,6284942,IOS,2021-05-22,1,1,2021-06-21
1,moorerebecca@gmail.com,Herriman,2020-08-13 08:29:22,2154681,IOS,2021-05-11,6,5,2021-06-10
1,kellypitts@gmail.com,Hopeton,2021-01-28 17:02:43,9137925,IOS,2021-07-06,9,8,2021-08-05
0,jacksonmatthew@yahoo.com,Jelloway,2020-10-08 02:14:03,4571577,IOS,2021-07-07,6,5,2021-08-06
1,kingmichelle@yahoo.com,Satellite Beach,2021-03-06 16:40:54,8724258,IOS,2021-07-30,6,4,2021-08-29
0,steve47@wells.com,Glenrock,2020-05-21 05:44:58,4272074,IOS,2021-06-19,6,6,2021-07-19
1,michaelchristensen@gmail.com,Delphia,2021-04-29 03:14:44,9435670,Android,2021-06-18,4,2,2021-07-18
0,jacqueline65@schwartz.com,Innis,2021-03-25 08:19:02,9837838,Android,2021-07-26,2,2,2021-08-25
0,douglaspetersen@yahoo.com,Beardstown,2020-12-14 15:54:20,4898812,Android,2021-08-09,9,8,2021-09-08
1,shelia81@yahoo.com,Willoughby,2020-05-07 18:36:23,5625922,Android,2021-07-26,5,5,2021-08-25
0,matthew72@gmail.com,Sussex,2021-04-20 11:58:25,8796121,Android,2021-08-16,7,4,2021-09-15
1,mwilliams@mitchell.org,Vicco,2021-04-21 20:12:45,4831720,Android,2021-06-06,9,7,2021-07-06
0,crogers@schroeder.com,Stewardson,2021-04-03 16:38:35,9018292,Android,2021-05-17,4,3,2021-06-16
1,byrddakota@hunt-cruz.com,North Billerica,2020-11-12 20:31:45,1569230,IOS,2021-05-02,4,3,2021-06-01
1,jacksonchristie@hotmail.com,Pleasureville,2020-11-19 00:16:53,9099165,IOS,2021-07-02,1,1,2021-08-01
1,taylorjimenez@lewis-diaz.org,Devereux,2020-06-07 23:04:20,2976969,IOS,2021-06-09,1,1,2021-07-09
0,stoutkatelyn@dixon.biz,Cherry Grove,2020-11-28 17:18:54,7673882,IOS,2021-08-03,1,1,2021-09-02
0,wallacerachel@cantrell.com,Borup,2020-06-09 12:17:03,9218446,Android,2021-07-08,3,3,2021-08-07
0,deborah66@yahoo.com,Wabasso,2020-10-16 16:08:50,5059408,Android,2021-06-22,6,6,2021-07-22
0,dallen@yahoo.com,Pine Mountain,2020-09-21 05:57:46,1466596,IOS,2021-07-23,1,1,2021-08-22
0,wallacejessica@yahoo.com,Bedford,2021-01-04 00:47:37,9042525,IOS,2021-08-19,5,3,2021-09-18
0,patrick36@martinez.info,Village Mills,2020-05-27 15:23:55,3162838,IOS,2021-07-27,9,6,2021-08-26
0,autumn18@hays.biz,Plymouth Meeting,2020-05-25 14:49:45,2477559,IOS,2021-05-09,1,1,2021-06-08
0,robinsonbelinda@gmail.com,Steamboat Springs,2020-12-21 18:42:26,9414962,Android,2021-05-22,7,5,2021-06-21
1,cody99@coleman.org,Robbins,2020-12-02 17:27:06,9870394,Android,2021-05-25,6,3,2021-06-24
1,freyes@miller-martin.biz,Gunder,2020-06-22 16:26:55,9750841,Android,2021-05-17,6,4,2021-06-16
1,hartsean@gmail.com,Wrights Corners,2020-06-13 19:22:52,4841213,Android,2021-06-25,9,7,2021-07-25
0,jacksonmark@reyes-perkins.com,Itasca,2020-09-12 04:48:15,5663603,Android,2021-07-09,5,3,2021-08-08
1,jonathanwashington@briggs-flores.com,Shelbyville,2021-01-06 14:09:16,2929355,Android,2021-08-03,2,2,2021-09-02
0,nicholaswilkerson@gmail.com,Tryon,2021-01-04 02:53:15,4569899,IOS,2021-07-30,2,1,2021-08-29
1,joshuaharvey@hotmail.com,Fiftysix,2021-04-28 16:18:53,2979939,Android,2021-07-28,5,5,2021-08-27
