UserName,TimeStamp,CheckIn,CityName,HotelName,CityId,CheckOut,RoomNights,BookingAmount,BookingID
jessica01@walsh-carter.com,2020-05-28 22:03:42,2021-08-16,Essex Fells,The Pink Sheet,0e5bd8b1-31f9-43c5-b3ad-5a08d61edc17,2021-08-28,12.0,2393.0,dabd0f4a-5c16-4bb6-ab0e-a4e0b0ea5e92
jordanweber@gmail.com,2021-02-25 10:41:00,2021-06-23,Camden-on-Gauley,Carpe Diem,078d2d69-4da4-4790-8502-6f90490d968b,2021-07-02,9.0,441.0,afef9985-cd51-40b2-a566-6b3e37772f8d
anthonyfleming@hall-smith.com,2020-05-05 10:04:36,,Natwick,The Pink Sheet,5bd77742-b6d7-4b51-956c-48df5d89fb0d,,,3384.0,9b763efa-4388-42d6-b35a-5dfeff515d89
pmitchell@gmail.com,2020-10-15 16:04:47,2021-06-05,Tanacross,The Robe Hotel,d8c28f78-bb3c-476e-b616-8dd19e1a5999,2021-06-15,10.0,3774.0,6559075c-7f7d-4529-b21d-651b93296511
richard62@flores.com,2020-07-12 15:33:58,2021-07-05,Amagansett,The Pink Sheet,e318c9df-9222-4250-af42-459539aedc96,2021-08-01,27.0,3882.0,5e3b1174-6de1-4918-ba84-4de146484243
yflores@gmail.com,2021-02-09 20:07:19,2021-05-09,Buena Ventura Lakes,Carpe Diem,83c530e6-d3a4-444c-9abb-856638d597e1,2021-05-21,12.0,2775.0,f839e8c5-0097-44e9-a6b2-2b7d39661640
yporter@yahoo.com,2021-01-12 23:18:47,2021-07-18,Fisher,Carpe Diem,cb8adce2-2ea6-41d2-9371-a1aba242b0da,2021-07-20,2.0,2564.0,0d2dd3c6-3317-4d0d-a11a-2c68b111892d
kathleengibson@rubio.com,2021-02-06 10:01:48,2021-05-31,Napakiak,Carpe Diem,03fd7dbc-3332-4148-be14-493c13068758,2021-06-08,8.0,1233.0,c55bcb6b-a632-4d0d-b794-782c75e58f48
aliciaalexander@medina.net,2020-06-07 10:02:16,2021-06-19,Ravenwood,The Robe Hotel,b6018559-ef3c-4705-946e-5b1d9ff2f6a2,2021-07-08,19.0,1868.0,672ab801-dc8f-4325-be69-3c6901ecd2de
robert26@cunningham.com,2020-08-18 16:49:43,2021-05-09,Galivants Ferry,Hotel City Lake,9b5ad437-1014-48a4-8559-70ef9f531e70,2021-05-26,17.0,1959.0,cf36d225-fcd4-4d0d-928e-5297387d8e43
cynthia04@navarro.com,2021-02-15 03:48:07,2021-05-19,Laud,The Pink Sheet,9e69754c-7ac7-439a-8ed3-62e4645e7ca8,2021-05-29,10.0,1294.0,1fe2359a-5e39-4193-9c6c-b2ad0b861f55
ghobbs@patrick.com,2020-10-19 04:11:48,2021-07-05,Grandview Park,The Robe Hotel,2664109f-42e9-4f90-b235-da55146b83c6,2021-07-15,10.0,,64b141cd-4b25-4834-be87-b2aecb98eda6
campospatrick@rice.org,2020-08-28 20:05:50,2021-06-28,Harlingen,The Pink Sheet,a61b7017-8c6a-4711-aa15-98440874e267,2021-07-15,17.0,3183.0,c883e6a7-d8b1-4008-a52d-48a458c5ec05
vcollins@yahoo.com,2020-12-11 15:50:29,,Lake Henry,The Pink Sheet,755dcb43-1ecc-48d2-8cd2-21baed2f2544,,,2279.0,67088818-a1b2-48ed-8e46-bde9fed4ca93
stephaniesolis@jackson-jones.com,2020-12-25 03:17:04,2021-08-07,Wabasha,The Pink Sheet,db360e63-b49c-428f-a192-9aa207665b37,2021-08-28,21.0,429.0,39f060e4-d466-4d10-aed0-4f8a2b1c360f
tracyschwartz@hotmail.com,2021-01-16 00:04:12,2021-08-29,Waipahu,Palm Woods,601d6f01-c1fe-49e7-bf14-cd0386c4113d,2021-09-15,17.0,2668.0,22f4c93b-b0a0-4d77-8e67-f8f034769dc9
faulknersean@shepherd-santiago.com,2020-05-22 20:10:17,2021-07-28,Rockdale,The Robe Hotel,29823aff-1193-4dcc-9bb6-c8274b4d73dc,2021-08-08,11.0,3316.0,4a5a9b51-4bb3-4f5c-aea6-ca6f1d98053a
sethmitchell@hotmail.com,2021-02-12 14:04:14,2021-07-17,Belva,The Pink Sheet,cbb5b68e-480b-4185-b6d4-e1f90e14e929,2021-07-25,8.0,669.0,80c1a021-15bb-4226-939a-e827405d2cc4
jessicafoster@yahoo.com,2021-01-23 09:52:41,2021-07-19,Sandoval,The Robe Hotel,fb2c3508-1be4-4108-afee-8efd2496cc70,2021-08-12,24.0,3443.0,c3056812-a04f-43b6-8867-862e3316ba5e
cfarley@hotmail.com,2021-05-01 10:03:13,2021-06-25,Sigel,Hotel City Lake,61d676c7-b187-42e6-ab6a-000c53d82294,2021-07-03,8.0,2499.0,098097b5-ab8f-41a3-a489-032dd8f3e5b9
thompsonamy@gmail.com,2020-11-27 16:19:39,2021-08-19,Fisher,Palm Woods,cb8adce2-2ea6-41d2-9371-a1aba242b0da,2021-09-17,29.0,934.0,25aeab79-3460-4f00-a705-42b7a414f5aa
mmoore@thompson-chavez.info,2020-12-19 20:39:47,2021-06-17,Monongah,The Robe Hotel,c1cb2be3-0e04-46a6-99e7-6f23954648cf,2021-06-26,9.0,121.0,2d18d88b-bfc2-49fe-b703-eb41345c619b
stantonchristine@yahoo.com,2020-08-31 00:15:41,2021-05-26,West Gilgo Beach,Palm Woods,445df693-fbd9-47c6-b525-fb2dc9917186,2021-06-18,23.0,2900.0,828f7ed2-0161-424d-8d92-2249503d80e1
vargasjennifer@gmail.com,2021-03-23 16:05:05,2021-08-10,Bethalto,Carpe Diem,a18b5dcf-7941-4a69-be5f-c6f5a9372427,2021-08-19,9.0,3642.0,c2e8d443-13d3-4573-a801-5a6fe8fafcd0
rpage@hotmail.com,2021-03-15 15:15:02,2021-05-17,Walnut Shade,The Pink Sheet,7c4862e8-d088-48ae-82e2-6e465abefe2f,2021-05-21,4.0,354.0,ba4d1188-9a88-4aab-863a-ad8367775324
roberthuynh@murray.com,2020-10-18 05:56:44,2021-06-22,Paradise Valley,Palm Woods,60b31f50-8cab-461e-96bf-d6c707e39d3d,2021-07-18,26.0,1072.0,92b52fed-6196-4436-8f92-7268fbaae188
brett75@hotmail.com,2020-09-06 11:40:41,2021-08-01,Nathalie,The Robe Hotel,95786a74-be66-4600-89d0-02ec6c93e2c3,2021-08-08,7.0,882.0,fae5ff74-21f9-4e03-9c3a-072cf3f309f1
fmclaughlin@stone.com,2021-01-28 16:28:41,2021-08-29,Brashear,Palm Woods,5a6691ed-20ee-4d79-a7f8-462e8b76ebdf,2021-08-31,2.0,1657.0,44647d0a-389e-4206-beb2-5fe6fb6388f7
scott54@yahoo.com,2020-12-13 14:15:52,2021-07-26,Grand Blanc,Palm Woods,9a04304e-df02-4dff-8c54-0fbb0fca7bb6,2021-08-08,13.0,806.0,81ff855b-8db6-40f5-89e9-72055b452a3b
joshuarose@yahoo.com,2020-10-24 02:02:14,2021-08-16,New Site,Carpe Diem,d13aaf21-1bdb-46b0-978c-6198e198d050,2021-09-07,22.0,3774.0,2092c449-fe07-4c46-ac71-1c51c02c55d2
millerhayley@gmail.com,2020-07-10 05:19:29,2021-06-25,West Acton,Hotel City Lake,5e85b5c1-2b79-4e5c-b674-ec868c88d2d7,2021-07-16,21.0,3128.0,738ff617-3752-4c55-b168-63886713fb9c
lauriejones@gmail.com,2020-10-13 07:45:04,2021-06-26,Ovilla,Hotel City Lake,6ad1a446-923a-4af1-9402-550289277772,2021-07-23,27.0,1334.0,240f0e20-fb2e-4eab-ac46-5185af36b4ee
mwalters@gmail.com,2020-06-09 11:42:30,2021-06-11,Harrah,The Pink Sheet,56cad13b-97ac-4f6a-8495-4cd0d439f10a,2021-07-04,23.0,3938.0,b7382263-6144-4420-9fdf-a580cc781707
dsellers@hotmail.com,2020-11-24 19:02:27,2021-08-03,Donalds,Carpe Diem,0f03209c-7c58-4593-a632-75cc15a50513,2021-08-27,24.0,1406.0,5edb5be9-4c3e-46ad-8bae-e5da65d17a5e
gsalinas@hernandez-moran.biz,2020-06-22 16:59:56,2021-05-15,Stillman Valley,Carpe Diem,673499c5-1922-49cc-8ec1-a2370dc3b5c6,2021-05-26,11.0,,52074032-a49b-4b38-bd47-23db81f79e7b
lindsayholland@richards.com,2020-11-01 14:09:52,,Bonhomie,Hotel City Lake,8d12427e-4a9e-4163-8d0d-4480aa38bfb5,,,471.0,f51eab0d-3837-4ea4-80b0-c676a69b1b59
traceyjackson@martinez.com,2020-06-22 20:36:30,2021-06-19,Sodus Point,The Robe Hotel,93277ecc-5127-4b7d-a1a3-aaee952b7abe,2021-06-27,8.0,2474.0,9a878fff-de8a-4c30-8a08-ba029a6c534a
rodriguezdaisy@hotmail.com,2020-11-11 15:02:37,2021-07-20,Sabetha,Hotel City Lake,b08b2a4a-8885-403e-a3cb-2727d9ee0037,2021-07-21,1.0,666.0,a02befa1-c291-4f1b-a3df-d79f15cde45c
laura08@lopez.biz,2020-08-15 02:16:25,2021-08-16,Green Brae,The Robe Hotel,7bc36b4d-a132-4bf4-ac9a-095ad403d243,2021-08-20,4.0,3661.0,5009ed6e-7947-4261-88d9-366f33c5a948
taylortim@hampton.com,2020-06-01 04:29:06,2021-06-21,Vincent,The Robe Hotel,7fffab14-79d6-4046-8ecf-82989829c6a6,2021-07-06,15.0,2261.0,a1e5b463-3f93-4696-a5ee-f938d9446409
cynthiabest@ball.com,2020-10-02 13:20:30,2021-06-11,Stockville,Palm Woods,8e4af656-4897-45dd-b787-e5a1ccba6670,2021-06-19,8.0,3720.0,d5887cf0-0220-437d-b66a-6e95c43d59f0
jwhite@meza.com,2021-01-18 13:06:01,2021-06-22,Wakpala,The Robe Hotel,52f643bd-61f9-4dbf-bc2a-0619641fc0b8,2021-06-27,5.0,926.0,8e25abaa-b06e-481a-bcb8-d8ccd261b6c2
elawson@koch.com,2021-03-31 15:52:24,2021-08-29,Alexander City,Carpe Diem,4d81b561-d745-416f-81a5-87ff299c1475,2021-09-23,25.0,1070.0,45f18665-4c84-4ef8-b674-1f1406bfe94f
dsullivan@garza.net,2021-03-26 12:34:21,2021-06-16,Cotesfield,Carpe Diem,69a6eba1-71e9-4d55-b761-755488bdd92f,2021-07-09,23.0,2984.0,5acd6ea8-6fed-4965-be86-19376b6d879c
whitneyturner@chandler-wong.biz,2020-08-05 11:11:37,2021-05-19,Chandler Heights,Carpe Diem,0354d93e-4aa4-4166-9adc-64fbfa192adc,2021-06-03,15.0,,d86c86fe-2660-4363-951d-e8ce5d3bbd59
richardgreen@lewis.biz,2020-06-29 18:53:48,2021-06-15,Angela,Hotel City Lake,c2ce4377-9bc0-4c1a-9264-0b16a3700cf0,2021-07-09,24.0,1168.0,d3a03720-f792-44bb-b737-6e3bc707fb87
sherri42@yahoo.com,2021-01-04 21:52:25,2021-08-28,Flatgap,Palm Woods,8863602c-ca53-47a1-abbf-b0fc6680a458,2021-09-09,12.0,1250.0,1fae58ea-5e1a-4de4-9461-edc3ee6d72fc
wattsdavid@martin.com,2020-10-28 00:46:13,2021-06-25,Roslyn Estates,The Robe Hotel,e899bea6-26c4-42dc-8008-cb5b66346350,2021-07-12,17.0,3233.0,94069fa5-1fb6-414e-97a7-df2f5e5c74f9
blankenshipchristina@cummings.biz,2020-08-18 10:54:23,2021-07-30,Port William,Hotel City Lake,19460a90-0ce4-4f27-b31f-81bcf3b61a09,2021-08-18,19.0,3820.0,41fdbd5c-9c1f-4d81-a258-b8f079ac8673
joseph14@foster.org,2021-02-18 11:17:00,2021-05-04,Maple Valley,The Pink Sheet,b1117aeb-5b7b-4edc-88e5-cb3d346fd934,2021-05-07,3.0,2912.0,cf1da744-084e-49dc-88f8-e121b4b81a51
wchapman@yahoo.com,2020-05-06 12:59:32,,Anniston,The Pink Sheet,f3c76c4d-6525-4bf4-842d-f31c590c02fa,,,2207.0,27e160ca-9226-4529-88f5-b59ccecc78db
tlove@moore.com,2020-06-06 08:08:53,,Park Lake,Hotel City Lake,7d37cbd2-9299-49cb-bcff-f5f151b09ebf,,,1519.0,e5a4af1c-f107-4820-a167-5d948305ba0c
sarahedwards@yahoo.com,2020-07-07 06:53:39,2021-08-10,Shawneetown,Carpe Diem,804f9a2d-f01c-43f9-9ec3-a8f940755384,2021-08-25,15.0,1562.0,a6e2fb1d-7b32-40a1-a6eb-68103d80506c
gregorywarren@yahoo.com,2021-01-22 07:34:23,2021-07-31,Belva,The Robe Hotel,cbb5b68e-480b-4185-b6d4-e1f90e14e929,2021-08-27,27.0,1986.0,3c27b91b-32c5-44cf-a6d4-78e329b5cbde
martinezjeffrey@hotmail.com,2020-08-14 11:48:09,2021-06-25,Cord,The Robe Hotel,3b456469-8c73-49c6-b7db-8d119ddaa5d7,2021-07-18,23.0,3371.0,50bd8b67-f84c-45f3-a039-021182504be3
nelsonwhitney@yahoo.com,2020-05-13 18:29:55,2021-05-23,Aliquippa,Hotel City Lake,eb5c6a2b-f8f0-46d0-b286-c6a585219680,2021-05-25,2.0,1679.0,4047b48e-28e8-497b-a033-785f5b3e43ac
clarklaura@miller.com,2021-03-17 22:04:13,2021-06-07,West Gilgo Beach,Hotel City Lake,445df693-fbd9-47c6-b525-fb2dc9917186,2021-06-12,5.0,1909.0,ecb21bf5-02af-41d5-b13d-f9397701cca3
megan73@yahoo.com,2020-11-08 10:02:09,2021-07-27,Fall River,Hotel City Lake,1559d268-5eca-4f1f-9802-35c2cbe4aabe,2021-08-02,6.0,1895.0,b392417d-f597-4cdf-be44-3188214329f2
wtrujillo@ray.org,2020-07-26 21:13:17,2021-06-14,Sharonville,The Pink Sheet,5abdac27-172a-438e-89b4-4597047a99c9,2021-06-25,11.0,,3a87a024-07f9-45f1-95b0-2cf2f6f7f7b7
