UserName,CityName,TimeStamp,CheckIn,HotelName,CheckOut,RoomNights,BookingAmount,BookingID
kevinjackson@davis.com,Flatgap,2021-01-20 13:27:09,2021-07-17,Carpe Diem,2021-08-16,30,692,b31c2f4f-926c-4371-93dc-cb38a870831f
phillipssarah@gmail.com,Albert,2020-12-30 15:06:11,2021-07-20,The Robe Hotel,2021-08-19,30,609,b70b9cb1-c1b3-48fe-bde8-f68e18b30c6e
chapmanbrenda@byrd.com,Watervliet,2020-08-16 21:00:07,2021-05-05,The Pink Sheet,2021-06-04,30,3274,21f0f44f-205a-407d-843f-2a981de299cc
scott02@nguyen-wilson.net,Mount Crawford,2020-07-17 08:52:28,2021-05-07,The Pink Sheet,2021-06-06,30,811,f637a9ca-a42d-4fec-9184-71301c9bee7f
susan63@campbell.net,Kaplan,2020-12-23 07:17:26,2021-05-21,The Robe Hotel,2021-06-20,30,2406,c533613b-811a-4aa1-b8c2-13acaae02a81
rgarcia@wallace-morrow.com,Jolley,2020-05-10 19:33:44,2021-08-13,Palm Woods,2021-09-12,30,845,e73e4aad-fd6a-4a8c-9ab3-4a9bdc56125b
james81@baker.info,Yorkana,2020-05-11 23:28:12,2021-08-25,Palm Woods,2021-09-24,30,2175,0de8eac2-51e2-4fd2-a3a1-eb3348a71c88
grivas@porter.info,Flensburg,2021-02-12 10:10:08,2021-06-21,The Pink Sheet,2021-07-21,30,1691,ca85a6ec-2db3-4aa0-84dc-97647808713d
samantha10@white.com,Watervliet,2020-11-09 01:02:44,2021-07-25,The Pink Sheet,2021-08-24,30,2157,9ad10ec4-fc1e-41fd-9340-a9dbbb97387c
katelyn04@hotmail.com,Rozet,2020-12-30 08:25:31,2021-06-02,Palm Woods,2021-07-02,30,3429,a75fe00c-c230-496e-81e6-ef4f3bdf7da2
sharon70@davis.com,Sweet Briar Station,2021-01-10 02:05:50,2021-08-26,The Robe Hotel,2021-09-25,30,1666,d1d83ec7-948b-4a15-8264-22387f742820
smithstephanie@hotmail.com,Viburnum,2020-08-04 09:58:04,2021-07-23,Palm Woods,2021-08-22,30,2260,b54d2af8-9caa-4738-b4b8-3434932c884d
perrylisa@hotmail.com,Parkway,2020-08-06 04:54:42,2021-05-28,Palm Woods,2021-06-27,30,3819,76337d9d-5e54-4316-9c1c-3bd2729f9b53
lori72@yahoo.com,Breslau,2020-06-03 21:51:08,2021-05-20,The Robe Hotel,2021-06-19,30,1665,a7c06426-fad7-462a-b48c-72421777a758
nmartin@gmail.com,Ridge Manor,2020-08-21 04:47:11,2021-06-08,Hotel City Lake,2021-07-08,30,2249,279ceb49-9c89-42b4-9816-646f4f10f825
jacksonmatthew@yahoo.com,Jelloway,2020-10-08 02:14:03,2021-07-07,Carpe Diem,2021-08-06,30,695,49dea2c5-c8e2-4477-a427-6936e9ba7ed2
steve47@wells.com,Glenrock,2020-05-21 05:44:58,2021-06-19,Carpe Diem,2021-07-19,30,1479,729aba8f-32f8-40fe-9bc8-542d1d04bd73
jacqueline65@schwartz.com,Innis,2021-03-25 08:19:02,2021-07-26,The Robe Hotel,2021-08-25,30,2099,dfea82f8-bea1-4500-b0ac-8fee3b59aabe
douglaspetersen@yahoo.com,Beardstown,2020-12-14 15:54:20,2021-08-09,Hotel City Lake,2021-09-08,30,2309,4820efbc-66e7-48c8-aa5d-76a41ec7c284
matthew72@gmail.com,Sussex,2021-04-20 11:58:25,2021-08-16,The Robe Hotel,2021-09-15,30,2907,793168dd-85e5-4d6e-8414-0dff2294b541
crogers@schroeder.com,Stewardson,2021-04-03 16:38:35,2021-05-17,Hotel City Lake,2021-06-16,30,1228,0f20b946-fe2c-4752-a732-6a9486af01cc
stoutkatelyn@dixon.biz,Cherry Grove,2020-11-28 17:18:54,2021-08-03,Palm Woods,2021-09-02,30,3023,43a81ec9-6771-494a-9a90-f9b4c89ee99f
wallacerachel@cantrell.com,Borup,2020-06-09 12:17:03,2021-07-08,Hotel City Lake,2021-08-07,30,3045,a5668e94-9c37-4bb2-b57f-d315251e5273
deborah66@yahoo.com,Wabasso,2020-10-16 16:08:50,2021-06-22,Palm Woods,2021-07-22,30,1013,2105c062-1fa1-4034-a49d-a55c597103e4
dallen@yahoo.com,Pine Mountain,2020-09-21 05:57:46,2021-07-23,The Robe Hotel,2021-08-22,30,428,43317ab9-f133-4a2d-bfe1-4a82d8dfa789
wallacejessica@yahoo.com,Bedford,2021-01-04 00:47:37,2021-08-19,Palm Woods,2021-09-18,30,3447,4843f785-ce08-4af3-b7db-7ea3e0428225
patrick36@martinez.info,Village Mills,2020-05-27 15:23:55,2021-07-27,The Robe Hotel,2021-08-26,30,1338,49a474b1-7495-4ddd-ac45-1ced36249644
autumn18@hays.biz,Plymouth Meeting,2020-05-25 14:49:45,2021-05-09,Carpe Diem,2021-06-08,30,3390,435ebf68-9273-466c-ab7d-9d59e18dd5ed
robinsonbelinda@gmail.com,Steamboat Springs,2020-12-21 18:42:26,2021-05-22,Hotel City Lake,2021-06-21,30,1124,3e2fd955-d7dc-4dd2-b748-0d05b2bbd197
jacksonmark@reyes-perkins.com,Itasca,2020-09-12 04:48:15,2021-07-09,The Pink Sheet,2021-08-08,30,2097,03024e86-9391-498f-89f1-4880a18c5e61
nicholaswilkerson@gmail.com,Tryon,2021-01-04 02:53:15,2021-07-30,The Robe Hotel,2021-08-29,30,742,c936783a-68da-4f5a-848a-30f61583552a
jacquelineford@nelson-porter.org,Maurice,2021-02-26 17:49:58,2021-06-15,Hotel City Lake,2021-07-15,30,3022,b5f73892-206b-411f-bc9c-fa742c997f7d
barbaraward@sanders.com,Giles,2021-01-24 15:34:52,2021-06-11,Hotel City Lake,2021-07-11,30,1923,4140446e-53dd-4bd0-a49b-0c350803d153
hdean@gmail.com,Val Verda,2020-09-06 17:12:19,2021-08-26,Carpe Diem,2021-09-25,30,1361,18eece1c-0df6-47de-bd25-d2f70c34ee4a
ashleythomas@gmail.com,North Myrtle Beach,2020-06-28 07:49:51,2021-06-12,Hotel City Lake,2021-07-12,30,3329,63f1e312-48ee-4844-b184-82ab9f39402e
jeremywhitney@hotmail.com,Ellaville,2020-08-06 12:34:11,2021-08-15,Carpe Diem,2021-09-14,30,2819,051b22db-2564-4f35-99e4-e8e2edb2302e
nguyenalicia@gmail.com,Greely Center,2021-01-02 01:13:42,2021-08-08,Hotel City Lake,2021-09-07,30,1981,e193f091-0f36-41fc-8795-feb31f8ef2d1
joseph25@gmail.com,Fort Gates,2020-07-22 02:48:30,2021-08-21,Palm Woods,2021-09-20,30,2506,6e1f989d-8f97-4e8f-9bef-9a09857737aa
chungmichael@berg-brown.net,Cut Off,2021-04-27 13:46:09,2021-07-06,Hotel City Lake,2021-08-05,30,1659,48f25381-cec9-4bc9-be95-ce43e953441f
obarber@hotmail.com,McGonigle,2021-03-17 13:31:25,2021-07-03,The Robe Hotel,2021-08-02,30,280,86330c1e-57b4-4ca7-9ab1-a3e655b58e5e
dthompson@yahoo.com,Hindsville,2020-06-01 16:13:34,2021-05-26,Palm Woods,2021-06-25,30,2850,fb47d391-e9e8-433a-a12d-abaa31590c26
lwelch@hotmail.com,Rancho Santa Margarita,2021-02-27 04:42:56,2021-05-10,Carpe Diem,2021-06-09,30,2090,8046cb76-83e7-4b75-9cf1-34a1e1f78c81
luishicks@gmail.com,Key West,2020-12-30 12:41:50,2021-08-14,The Pink Sheet,2021-09-13,30,2916,d696f038-23c9-4c7e-b167-cc2a8a7de582
hicksjonathan@park-nunez.com,Cape Saint Claire,2021-01-01 21:14:38,2021-08-02,The Robe Hotel,2021-09-01,30,1126,11ade0a7-b957-451c-b6cb-9378abb34963
