UserName,CityName,TimeStamp,CheckIn,HotelName,CheckOut,RoomNights,BookingAmount,BookingID
iolson@hotmail.com,Cheyenne,2020-09-29 02:48:29,2021-06-04,Palm Woods,2021-07-04,30,133,91394c91-5c72-4e77-a572-732d2bbcd14e
jeffery69@thomas.com,Nounan,2020-08-05 13:41:50,2021-07-07,Hotel City Lake,2021-08-06,30,1125,3465dce1-0e30-4b38-b870-561e09a64e0a
ucox@underwood.com,San Remo,2021-01-24 04:02:06,2021-06-25,The Robe Hotel,2021-07-25,30,2516,079f9c31-34bc-43ae-8865-5b7539e0b428
jeffreymontgomery@gmail.com,Friend,2021-03-04 22:06:16,2021-08-06,The Pink Sheet,2021-09-05,30,3865,d8c33cf3-e86f-406a-90cd-a0348636135f
jennifer04@wolfe.info,Panaca,2020-05-11 20:08:26,2021-05-27,Palm Woods,2021-06-26,30,2046,79bd370f-7e47-40cd-a27c-83e4243b77b6
heather39@campbell-tate.com,Mechanic Falls,2021-04-03 19:07:36,2021-05-24,The Pink Sheet,2021-06-23,30,856,6a25dd85-e618-48da-b31e-152af880d4f0
gibbssheri@smith.com,Mayflower,2021-01-16 21:43:07,2021-05-09,Palm Woods,2021-06-08,30,1827,f4cade3a-5701-4063-9409-16bdd1b5253d
carrpatrick@yahoo.com,Hanska,2021-03-14 18:51:10,2021-06-10,The Robe Hotel,2021-07-10,30,306,f3ab2882-c6b4-4818-a2e5-6ab3f2ea2d8e
carmen50@yahoo.com,Maple Park,2020-12-31 19:16:50,2021-06-28,Palm Woods,2021-07-28,30,2541,9a51983b-d008-4506-9a33-399526e544d8
adrian73@yahoo.com,Laureldale,2020-06-25 13:42:15,2021-05-27,The Pink Sheet,2021-06-26,30,3078,2e1198a7-d771-476c-a79a-740820f7d324
lucasray@schaefer-diaz.org,Howison,2020-08-31 00:46:31,2021-07-21,The Pink Sheet,2021-08-20,30,2819,27ca2e11-85b0-4ee3-97d7-faf1096eee8b
benjamincannon@richards-walker.org,Kodiak,2021-04-02 16:01:31,2021-05-22,Carpe Diem,2021-06-21,30,286,64390b5e-083e-4f76-957c-25fe35fd860f
karipineda@mann.biz,Huntington Beach,2020-12-12 19:17:38,2021-08-17,Palm Woods,2021-09-16,30,2031,6fe14932-0387-4882-9207-007159565723
michaelchambers@lopez.net,Hanging Limb,2020-08-30 15:24:32,2021-05-15,Palm Woods,2021-06-14,30,390,01496e26-800b-40df-90fa-6f6635f5c7f6
woodsjennifer@yahoo.com,Margate City,2020-11-10 12:13:42,2021-05-23,Hotel City Lake,2021-06-22,30,3763,120817ee-b5f3-4718-8df2-faf7d9744fac
qwallace@lynch-smith.info,Eldorado Springs,2020-07-03 04:42:44,2021-07-10,Carpe Diem,2021-08-09,30,1544,62e1d2d3-d4a3-46e7-a7e2-d41c6b2ba82e
amy35@yahoo.com,Hometown,2021-01-10 00:55:20,2021-07-10,Palm Woods,2021-08-09,30,339,9ab2beac-18fb-4324-a834-8f33abd67c55
josephgarcia@gmail.com,Hesler,2020-07-01 09:51:36,2021-08-06,Palm Woods,2021-09-05,30,2230,2d6b1bb2-8be4-4dd0-89f3-c4fe4b901ee7
richard41@hotmail.com,Gilcrest,2020-07-23 13:30:49,2021-06-06,Carpe Diem,2021-07-06,30,3535,18c6ae06-09ac-42b9-9df9-48cf00d86030
kanetaylor@hotmail.com,Tillamook,2020-09-05 04:50:32,2021-05-16,Carpe Diem,2021-06-15,30,2859,94137b02-9cc7-4c7a-9c4c-73978820b4af
