UserName,TimeStamp,CheckIn,CityName,HotelName,CityId,CheckOut,RoomNights,BookingAmount,BookingID
manninglucas@rodriguez.com,2020-12-15 14:35:41,2021-07-03,Mesa Grande,The Robe Hotel,7861a858-d23d-4052-bae6-cc56158923f9,2021-07-28,25,1006,7b866a7b-b8ed-4aa1-9e76-5c357cc0b5c7
jamesmelton@cameron.biz,2021-02-07 09:33:48,2021-08-25,Wasilla,Hotel City Lake,932dcf74-2741-450c-9dcf-aed9d8a89190,2021-09-10,16,580,2ea85371-a17a-435b-81f8-10bc0bbaa8eb
jasonnovak@wheeler.com,2021-04-07 11:17:20,2021-05-12,Grayslake,Hotel City Lake,e93a072f-b98c-4907-be76-0cd1e7091d2c,2021-06-05,24,2043,b44d1085-2b15-49d1-88b0-1abe3d074b3f
abigailpatrick@hotmail.com,2021-04-27 12:31:57,2021-08-18,Raiford,Carpe Diem,d691c6e4-f301-46f0-afd7-c2fde077f412,2021-09-06,19,875,f8c2ead8-3a43-4c17-a885-8ca431da4c51
aperry@gmail.com,2021-02-14 14:16:25,2021-06-15,Miami Springs,The Robe Hotel,03e8119e-82eb-4c08-a7bb-274ceaa31830,2021-06-18,3,2605,9be10bfe-0224-4f7b-bc3d-77c31696c49e
james11@hotmail.com,2020-09-19 18:50:27,2021-07-12,Ector,Carpe Diem,3403b50f-d5a5-459e-9f2b-60ce7f530799,2021-07-25,13,2818,de77c0ea-6498-4d84-9652-84eac6e7626c
mmoore@gmail.com,2020-09-08 07:02:28,2021-06-05,Olney,The Pink Sheet,64342020-4c96-4fcf-8a80-b265c8f9967c,2021-07-02,27,1207,2f1bf2f7-2c37-412d-a8da-2a5e08ee7342
jessicawong@johnson.biz,2021-04-15 19:50:03,2021-07-07,Flying Hills,The Pink Sheet,5858d0d3-8b3d-4e48-a886-6d38039f6f8b,2021-07-20,13,3713,c7632788-89a8-45a6-b50e-4dceb467b444
conleyrick@hotmail.com,2020-08-14 19:20:47,2021-07-14,Chinquapin,Palm Woods,78527eba-5e0b-4ec5-bbdc-a40a048dcc96,2021-07-20,6,3147,6fab1513-38d8-4334-81c7-be6600db7fcf
gordonelizabeth@hotmail.com,2020-10-15 20:14:08,2021-05-20,Echeta,Palm Woods,9f3cea0c-a0d9-4ec0-a92d-9adeabeb8518,2021-05-25,5,1876,11752ba3-d599-4f96-bbeb-7e88c6b90699
gfoster@nguyen.com,2020-11-23 14:48:46,2021-07-19,Gay,Hotel City Lake,c19c046e-b717-4c08-9e3d-775e8e803fce,2021-08-09,21,1267,e653324c-e2ce-48ad-a39a-0c4491fa9c0d
john59@guzman.info,2020-11-19 12:20:09,2021-06-02,Holder,Palm Woods,29ca5800-92f4-4e13-b5a3-7803814a5ddd,2021-06-10,8,2071,17a658e7-655f-4fec-bf2b-5e6a392eca21
kristen18@howe.com,2020-08-19 06:09:38,2021-05-24,Rosette,Hotel City Lake,c9b762b3-d9a7-493e-a495-c303e50ad090,2021-06-11,18,3350,5033ebb4-68e3-4bf4-a35c-e6309bd038c8
hendricksnicholas@yahoo.com,2021-04-12 23:09:56,2021-08-22,Pony,The Pink Sheet,3dbd5f96-e854-40a9-bcc0-2914386414ba,2021-09-14,23,113,6c3bcc44-9b7a-459e-b0cf-1787685b3dbc
joshuahughes@simpson.com,2020-12-16 08:47:03,2021-07-31,Olmsted,Hotel City Lake,a5b9198a-b8a1-4469-9ba3-bc8ca2bf53ae,2021-08-14,14,1288,2e937bd5-8f3b-4b63-84a4-1417e84f574f
jeffrey27@patton-kane.com,2021-04-03 08:58:09,2021-08-30,Goddard,Carpe Diem,121a4f62-8022-4647-88fb-d80830d0f3c5,2021-09-13,14,3581,96e3c2c1-4ae8-42ce-8298-b4296e83a392
christopher75@yahoo.com,2021-05-02 23:55:26,2021-07-22,Pequop,The Pink Sheet,7ec23d92-d7ca-480c-b8d1-49169bfd5cce,2021-08-06,15,2200,176136f3-f474-417e-bbe6-b16afead119f
kelly16@green.com,2021-04-17 17:33:53,2021-05-15,Grassy,Palm Woods,90f1fa80-720e-4e73-9b7c-954391694f57,2021-06-01,17,2241,5e14b6c6-3b72-4857-abcd-8dca9120fff5
carlos93@hotmail.com,2020-08-15 14:01:51,2021-06-15,San Ygnacio,The Robe Hotel,6f7229ed-35ca-40fe-9aca-8af17abc96d1,2021-06-24,9,748,5dc92ac9-f349-4148-a7ac-96004c70af7d
kaitlyn79@gmail.com,2020-05-13 01:45:17,2021-07-07,Brandywine Manor,The Pink Sheet,5cf14510-e5ae-435c-8156-42cc360d0a8a,2021-07-26,19,3792,42f1b27e-bd37-4bad-9e91-113d14902e6b
llee@mccullough.org,2020-05-07 05:11:34,2021-06-25,Muleshoe,The Robe Hotel,8b65cabb-e0b0-4fc4-82e7-b774db544b50,2021-07-12,17,3821,b25c431c-685a-4eda-af41-b1c125d45a8b
dbrown@hotmail.com,2020-05-24 02:23:15,2021-07-23,Cherokee,The Robe Hotel,7a7af79a-8b59-4e93-ab20-1a0b8805f26e,2021-08-21,29,600,f189b8a8-673a-4f14-ad21-38e953d23018
